States,FIPS,Legality
Alabama,1,Illegal
Alaska,2,Illegal
Arizona,4,Legal
Arkansas,5,Legal
California,6,Illegal
Colorado,8,Legal
Connecticut,9,Legal
Delaware,10,Legal
Florida,12,Legal
Georgia,13,Illegal
Hawaii,15,Illegal
Idaho,16,Illegal
Illinois,17,Legal
Indiana,18,Legal
Iowa,19,Legal
Kansas,20,Legal
Kentucky,21,Legal
Louisiana,22,Legal
Maine,23,Online only
Maryland,24,Legal
Massachusetts,25,Legal
Michigan,26,Legal
Minnesota,27,Illegal
Mississippi,28,Retail only
Missouri,29,Legal
Montana,30,Retail only
Nebraska,31,Retail only
Nevada,32,Legal
New Hampshire,33,Legal
New Jersey,34,Legal
New Mexico,35,Retail only
New York,36,Legal
North Carolina,37,Legal
North Dakota,38,Retail only
Ohio,39,Legal
Oklahoma,40,Illegal
Oregon,41,Legal
Pennsylvania,42,Legal
Puerto Rico,72,Online only
Rhode Island,44,Legal
South Carolina,45,Illegal
South Dakota,46,Retail only
Tennessee,47,Online only
Texas,48,Illegal
Utah,49,Illegal
Vermont,50,Online only
Virginia,51,Legal
Washington,53,Legal
"Washington, D.C.",11,Legal
West Virginia,54,Legal
Wisconsin,55,Legal
Wyoming,56,Online only
